iso3c,country,year,eff_gap
LBR,Liberia,2023,0.68088734
SSD,South Sudan,2023,0.67569327
MDG,Madagascar,2023,0.63707644
BEN,Benin,2023,0.63046181
NER,Niger,2023,0.59566796
MWI,Malawi,2023,0.58503932
COM,Comoros,2023,0.57528877
CIV,Côte d'Ivoire,2023,0.53936613
VEN,Venezuela,2023,0.53910249
COD,"Congo, Democratic Republic of the",2023,0.53608894
ZMB,Zambia,2023,0.52399153
GNQ,Equatorial Guinea,2023,0.51112217
GUY,Guyana,2023,0.50900066
MDV,Maldives,2023,0.48977435
STP,São Tomé and Principe,2023,0.48906538
GNB,Guinea-Bissau,2023,0.48572177
TCD,Chad,2023,0.48216277
TZA,Tanzania,2023,0.47925293
GEO,Georgia,2023,0.4756304
BFA,Burkina Faso,2023,0.47435606
PRY,Paraguay,2023,0.47338241
VNM,Vietnam,2023,0.47280952
CHN,China,2023,0.47113848
GIN,Guinea,2023,0.46370682
UKR,Ukraine,2023,0.46208966
NOR,Norway,2023,0.45821553
KNA,St. Kitts and Nevis,2023,0.45544705
UGA,Uganda,2023,0.45476332
ETH,Ethiopia,2023,0.45345098
VCT,St. Vincent and the Grenadines,2023,0.450555
BLZ,Belize,2023,0.44901365
BTN,Bhutan,2023,0.44616079
GRD,Grenada,2023,0.44558227
MRT,Mauritania,2023,0.44524592
TJK,Tajikistan,2023,0.4422577
SRB,Serbia,2023,0.44069278
NAM,Namibia,2023,0.43996346
KEN,Kenya,2023,0.43983456
ARG,Argentina,2023,0.43476769
BGD,Bangladesh,2023,0.4339968
HRV,Croatia,2023,0.4339751
IDN,Indonesia,2023,0.43168095
DMA,Dominica,2023,0.42500326
NGA,Nigeria,2023,0.42300698
BGR,Bulgaria,2023,0.42279601
AGO,Angola,2023,0.41906044
LSO,Lesotho,2023,0.41900262
LCA,St. Lucia,2023,0.41808501
ALB,Albania,2023,0.41675261
FJI,Fiji,2023,0.41616571
MLI,Mali,2023,0.41542381
AUS,Australia,2023,0.4130407
ISL,Iceland,2023,0.41206414
CMR,Cameroon,2023,0.41199657
RWA,Rwanda,2023,0.4109526
KAZ,Kazakhstan,2023,0.41094691
KHM,Cambodia,2023,0.40828142
EST,Estonia,2023,0.40457317
OMN,Oman,2023,0.40445217
POL,Poland,2023,0.4008885
ROU,Romania,2023,0.40065238
SWZ,Eswatini,2023,0.39995763
THA,Thailand,2023,0.39949885
IRL,Ireland,2023,0.39942396
SLE,Sierra Leone,2023,0.39792818
LTU,Lithuania,2023,0.3976666
TUR,Turkey,2023,0.39418662
ARM,Armenia,2023,0.3932066
UZB,Uzbekistan,2023,0.39104784
PER,Peru,2023,0.38814366
SWE,Sweden,2023,0.3880707
MOZ,Mozambique,2023,0.38703242
HUN,Hungary,2023,0.38267598
KWT,Kuwait,2023,0.38033333
NIC,Nicaragua,2023,0.3777473
ARE,United Arab Emirates,2023,0.37770838
SVK,Slovak Republic,2023,0.37763986
DZA,Algeria,2023,0.37686723
COG,"Congo, Republic of",2023,0.37682334
EGY,Egypt,2023,0.37653536
JPN,Japan,2023,0.37627414
MDA,Moldova,2023,0.37498134
RUS,Russia,2023,0.37454054
CZE,Czech Republic,2023,0.37370515
CYP,Cyprus,2023,0.3698841
SAU,Saudi Arabia,2023,0.3697964
AUT,Austria,2023,0.36895064
TLS,Timor-Leste,2023,0.3688457
KOR,Korea,2023,0.3686845
MMR,Myanmar,2023,0.365107
IRQ,Iraq,2023,0.36482197
ISR,Israel,2023,0.36308128
NZL,New Zealand,2023,0.36166453
AZE,Azerbaijan,2023,0.3615748
BHR,Bahrain,2023,0.35978848
COL,Colombia,2023,0.35922468
CHL,Chile,2023,0.35904831
TUN,Tunisia,2023,0.35697508
TGO,Togo,2023,0.35550603
LUX,Luxembourg,2023,0.35462022
MNG,Mongolia,2023,0.35140184
BWA,Botswana,2023,0.34788302
BRA,Brazil,2023,0.34741476
CHE,Switzerland,2023,0.34718704
USA,United States,2023,0.34648195
MKD,Macedonia,2023,0.34647271
LVA,Latvia,2023,0.34562069
AFG,Afghanistan,2023,0.34270793
DOM,Dominican Republic,2023,0.34151611
IRN,Iran,2023,0.34139663
SVN,Slovenia,2023,0.33957294
CAN,Canada,2023,0.33859172
PHL,Philippines,2023,0.3384268
DNK,Denmark,2023,0.33781376
MYS,Malaysia,2023,0.337302
DEU,Germany,2023,0.33565661
NPL,Nepal,2023,0.33395982
PRT,Portugal,2023,0.33360171
FRA,France,2023,0.33187011
BIH,Bosnia and Herzegovina,2023,0.33183256
ITA,Italy,2023,0.3306888
ZAF,South Africa,2023,0.33068874
HTI,Haiti,2023,0.32969636
JOR,Jordan,2023,0.32916453
BEL,Belgium,2023,0.3264375
BRB,Barbados,2023,0.32510442
MAR,Morocco,2023,0.32480741
PAK,Pakistan,2023,0.32378295
GBR,United Kingdom,2023,0.3222453
DJI,Djibouti,2023,0.322155
LKA,Sri Lanka,2023,0.32143974
BOL,Bolivia,2023,0.3209998
SUR,Suriname,2023,0.31738901
HND,Honduras,2023,0.31540638
BRN,Brunei Darussalam,2023,0.31025374
GRC,Greece,2023,0.31019309
IND,India,2023,0.30915093
GHA,Ghana,2023,0.30704054
PAN,Panama,2023,0.30670163
MEX,Mexico,2023,0.30636731
ESP,Spain,2023,0.30560806
SLV,El Salvador,2023,0.30269867
NLD,Netherlands,2023,0.30223358
GAB,Gabon,2023,0.30138057
PLW,Palau,2023,0.29701865
SEN,Senegal,2023,0.2962991
URY,Uruguay,2023,0.29173911
BDI,Burundi,2023,0.29027367
ECU,Ecuador,2023,0.28389293
GTM,Guatemala,2023,0.27951527
YEM,Yemen,2023,0.27686763
MUS,Mauritius,2023,0.27403623
TTO,Trinidad and Tobago,2023,0.27083975
CRI,Costa Rica,2023,0.25409263
SYC,Seychelles,2023,0.23581007
TKM,Turkmenistan,2023,0.23434764
LBN,Lebanon,2023,0.23229629
CPV,Cabo Verde,2023,0.18008319
