entity,year,value
AEs,2000,25.6566
AEs,2001,25.8405
AEs,2002,26.0328
AEs,2003,25.8762
AEs,2004,26.4417
AEs,2005,26.1296
AEs,2006,26.1397
AEs,2007,26.3539
AEs,2008,25.4721
AEs,2009,24.3903
AEs,2010,23.7775
AEs,2011,24.6954
AEs,2012,23.8872
AEs,2013,24.1724
AEs,2014,24.3202
AEs,2015,23.8593
AEs,2016,24.5879
AEs,2017,25.0794
AEs,2018,24.9512
AEs,2019,25.175
AEs,2020,22.4609
AEs,2021,23.5878
AEs,2022,23.7735
EMs,2000,28.8557
EMs,2001,29.4678
EMs,2002,28.4424
EMs,2003,28.6756
EMs,2004,28.9235
EMs,2005,28.3476
EMs,2006,26.5586
EMs,2007,26.6911
EMs,2008,24.7127
EMs,2009,26.1079
EMs,2010,25.7801
EMs,2011,26.7362
EMs,2012,26.5466
EMs,2013,26.5121
EMs,2014,26.5403
EMs,2015,27.5385
EMs,2016,27.2857
EMs,2017,28.0124
EMs,2018,28.3068
EMs,2019,28.3543
EMs,2020,27.0794
EMs,2021,26.4657
EMs,2022,26.0361
SSA,2000,24.3156
SSA,2001,23.6747
SSA,2002,24.8225
SSA,2003,25.4485
SSA,2004,26.4626
SSA,2005,26.6402
SSA,2006,26.6863
SSA,2007,26.153
SSA,2008,26.1024
SSA,2009,26.9074
SSA,2010,24.035
SSA,2011,24.8853
SSA,2012,26.7397
SSA,2013,26.6852
SSA,2014,26.4802
SSA,2015,29.5961
SSA,2016,31.4495
SSA,2017,29.1944
SSA,2018,28.4133
SSA,2019,28.8137
SSA,2020,26.3587
SSA,2021,26.5152
SSA,2022,26.7776
Botswana,2000,23.7795
Botswana,2001,25.2107
Botswana,2002,25.1208
Botswana,2003,25.4485
Botswana,2004,29.5065
Botswana,2005,29.5827
Botswana,2006,29.3885
Botswana,2007,27.5949
Botswana,2008,24.7539
Botswana,2009,23.4288
Botswana,2010,30.9728
Botswana,2011,33.4673
Botswana,2012,35.7128
Botswana,2013,36.7563
Botswana,2014,32.8073
Botswana,2015,34.0813
Botswana,2016,34.1617
Botswana,2017,36.0805
Botswana,2018,35.4204
Botswana,2019,40.1356
Botswana,2020,43.588
Botswana,2021,43.0413
Botswana,2022,42.8879
Eswatini,2000,36.0802
Eswatini,2001,33.8848
Eswatini,2002,35.6021
Eswatini,2003,39.2214
Eswatini,2004,35.3619
Eswatini,2005,41.8783
Eswatini,2006,42.3737
Eswatini,2007,37.9061
Eswatini,2008,38.7145
Eswatini,2009,37.1577
Eswatini,2010,44.5009
Eswatini,2011,50.2276
Eswatini,2012,41.8058
Eswatini,2013,41.3246
Eswatini,2014,37.3802
Eswatini,2015,34.6793
Eswatini,2016,40.3281
Eswatini,2017,38.7388
Eswatini,2018,38.8505
Eswatini,2019,36.4114
Eswatini,2020,37.5201
Eswatini,2021,38.67
Eswatini,2022,36.9637
Lesotho,2000,35.9535
Lesotho,2001,30.7653
Lesotho,2002,31.48
Lesotho,2003,30.7241
Lesotho,2004,32.804
Lesotho,2005,31.0159
Lesotho,2006,26.6631
Lesotho,2007,27.4871
Lesotho,2008,25.5938
Lesotho,2009,26.737
Lesotho,2010,30.0844
Lesotho,2011,26.6915
Lesotho,2012,26.7715
Lesotho,2013,28.7041
Lesotho,2014,31.4409
Lesotho,2015,31.3815
Lesotho,2016,31.4495
Lesotho,2017,34.1942
Lesotho,2018,33.9199
Lesotho,2019,32.2122
Lesotho,2020,32.3405
Lesotho,2021,32.4201
Lesotho,2022,33.7067
Namibia,2000,42.9879
Namibia,2001,44.4143
Namibia,2002,43.1606
Namibia,2003,42.7451
Namibia,2004,44.1882
Namibia,2005,43.8413
Namibia,2006,42.7018
Namibia,2007,41.7162
Namibia,2008,36.3142
Namibia,2009,35.3587
Namibia,2010,36.7211
Namibia,2011,34.5352
Namibia,2012,35.6354
Namibia,2013,36.8844
Namibia,2014,36.041
Namibia,2015,35.8517
Namibia,2016,38.5616
Namibia,2017,42.4133
Namibia,2018,43.5028
Namibia,2019,42.6653
Namibia,2020,40.1242
Namibia,2021,40.8572
Namibia,2022,39.9872
South Africa,2000,37.9383
South Africa,2001,37.1949
South Africa,2002,35.8119
South Africa,2003,34.6492
South Africa,2004,33.7359
South Africa,2005,33.0237
South Africa,2006,32.8502
South Africa,2007,32.9369
South Africa,2008,32.9417
South Africa,2009,33.1914
South Africa,2010,34.8148
South Africa,2011,36.2044
South Africa,2012,36.1631
South Africa,2013,35.7692
South Africa,2014,35.4768
South Africa,2015,34.8148
South Africa,2016,35.2686
South Africa,2017,35.5357
South Africa,2018,35.5675
South Africa,2019,34.7799
South Africa,2020,32.8429
South Africa,2021,32.5462
South Africa,2022,31.8014
SACU,2000,35.3479
SACU,2001,34.294
SACU,2002,34.2351
SACU,2003,34.5577
SACU,2004,35.1193
SACU,2005,35.8684
SACU,2006,34.7955
SACU,2007,33.5283
SACU,2008,31.6636
SACU,2009,31.1747
SACU,2010,35.4188
SACU,2011,36.2252
SACU,2012,35.2177
SACU,2013,35.8877
SACU,2014,34.6293
SACU,2015,34.1617
SACU,2016,35.9539
SACU,2017,37.3925
SACU,2018,37.4522
SACU,2019,37.2409
SACU,2020,37.2831
SACU,2021,37.507
SACU,2022,37.0694
